trade_date,SMB,HML
2019-05-13,0.026746434980633147,-0.008759188922084271
2019-05-14,-0.0007118817538149689,-0.006293457101630741
2019-05-15,-0.0011341314383377776,-0.017826050207859195
2019-05-16,-0.00012923510230732765,0.007579961127716245
2019-05-17,-0.0226666732551641,-0.005671666835794155
2019-05-20,0.006681734421730306,0.006502040344651898
2019-05-21,0.0017827343879996335,-0.006627224280665998
2019-05-22,0.006005243730412722,-0.01758689156120544
2019-05-23,-0.015946222443800666,0.015300495171665814
2019-05-24,-0.01903397331092538,0.0037726983904570422
2019-05-27,0.039101678510268176,-0.016359200722340424
2019-05-28,-0.012478804675381192,-0.014113162265171314
2019-05-29,0.022992140576490475,-0.014982767521121765
2019-05-30,0.0005283161468115653,-0.002637832041712418
2019-05-31,0.021071989999012147,-0.012194346038605657
2019-06-03,-0.037965408069861796,-0.0017740080653751702
2019-06-04,-0.01792217808850102,0.01022187163670392
2019-06-05,0.01450247371913994,0.0034444979234285796
2019-06-06,-0.04780641915328372,0.013587482215670861
2019-06-10,0.00511052497729771,-0.01799242087480521
2019-06-11,0.014207856641143327,-0.01885199469047276
2019-06-12,0.01583835825217117,-0.0046222380747102465
2019-06-13,0.01948645711502041,0.004955298477810899
2019-06-14,-0.041771423460197334,0.002852223399430474
2019-06-17,0.0015167681666644712,0.003564854053453502
2019-06-18,-0.004446222589743104,-0.007288562548468261
2019-06-19,0.014876040442121406,-0.014855107103834048
2019-06-20,-0.03767970073141513,-0.00613461923669684
2019-06-21,0.05143572966209199,-0.00683784733953195
2019-06-24,-0.007210134129912202,-0.004970212371288222
2019-06-25,-0.004533442519254402,-0.0057355016075852795
2019-06-26,0.0031266861039869693,-0.006706520087773005
2019-06-27,-0.011160182091387551,-0.016309696393495745
2019-06-28,-0.03404251248195728,-0.0011709314723238342
2019-07-01,0.006460815218304387,-0.027270000929291823
2019-07-02,0.0012906006986233504,-0.00034751628101785175
2019-07-03,-0.007556614199445072,0.016081165089868163
2019-07-04,-0.001189400190649134,0.017575855540502523
2019-07-05,0.0024085953511566614,-0.023140491445119937
2019-07-08,-0.03169320443646127,-0.004544277072451305
2019-07-09,0.01539544921532628,-0.0013804073661103085
2019-07-10,-0.006582974783391495,-0.007210625739053195
2019-07-11,-0.0033882007749233885,0.0049316939839195014
2019-07-12,-0.015854083720394346,0.0016070075198995962
2019-07-15,0.014723575388503997,-0.010399467311119213
2019-07-16,0.02448435152227982,0.003286782722265002
2019-07-17,0.003378729366887363,-0.0036577518419355116
2019-07-18,-0.024966343776662264,0.005115718952695997
2019-07-19,-0.008080961411414312,0.0003665244440774649
2019-07-22,0.04615993627958381,-0.0662352138575039
2019-07-23,0.029044286161522978,-0.004592937046042266
2019-07-24,0.032637643974967614,-0.013012867126794782
2019-07-25,-0.002058336003833158,-0.015899643118428404
2019-07-26,-0.010200388204900277,-0.001482698575077216
2019-07-29,0.009892078269640014,-0.017727461696902244
2019-07-30,0.007097777486083492,0.0005918652989157537
2019-07-31,0.007915797392300748,-0.008855357980411389
2019-08-01,0.03161589495462812,-0.010364972319672166
2019-08-02,0.00046816591605408284,-0.01879756824576369
2019-08-05,0.032664294496373314,-0.01142445754698418
2019-08-06,-0.04537176646399329,-0.023082406833203613
2019-08-07,0.002436896010143076,-0.0013267976532447547
2019-08-08,-0.021382444367162624,-0.010319891645814146
2019-08-09,-0.008313997320103045,0.007008933727235007
